gem,version,released,status,gem_bytes,rb_files,native_files,functions,functions_ruby,functions_native,functions_public,functions_private,functions_protected,functions_module_function,native_languages,lines_code,lines_total,parse_errors,added,removed,net,running_total,drift
jmespath,1.6.2,2022-11-25,ok,20992.0,30.0,0.0,199.0,200.0,0.0,148.0,47.0,4.0,0.0,,2039.0,2505.0,0.0,199.0,0.0,199.0,199.0,0.0
aws-sigv4,1.12.1,2025-06-10,ok,19456.0,7.0,0.0,80.0,80.0,0.0,46.0,34.0,0.0,0.0,,599.0,1139.0,0.0,80.0,0.0,80.0,80.0,0.0
i18n,1.15.2,2026-06-19,ok,47616.0,34.0,0.0,312.0,320.0,0.0,235.0,16.0,61.0,0.0,,2323.0,3707.0,0.0,312.0,0.0,312.0,312.0,0.0
aws-partitions,1.1283.0,2026-09-01,ok,83968.0,7.0,0.0,80.0,80.0,0.0,56.0,24.0,0.0,0.0,,964.0,1394.0,0.0,80.0,0.0,80.0,80.0,0.0
bundler,4.0.20,2026-09-02,ok,467968.0,147.0,0.0,2244.0,2247.0,0.0,1626.0,575.0,43.0,43.0,,16395.0,22241.0,0.0,2244.0,0.0,2244.0,2244.0,0.0
rake,13.4.2,2026-04-16,ok,86528.0,44.0,0.0,443.0,444.0,0.0,409.0,32.0,2.0,4.0,,2950.0,4662.0,0.0,443.0,0.0,443.0,443.0,0.0
aws-sdk-core,3.254.1,2026-08-06,ok,427520.0,285.0,0.0,2242.0,2250.0,0.0,1505.0,737.0,0.0,0.0,,19554.0,36961.0,0.0,2242.0,0.0,2242.0,2242.0,0.0
activesupport,8.1.3,2026-03-24,ok,269312.0,289.0,0.0,2495.0,2597.0,0.0,2046.0,445.0,4.0,5.0,,16634.0,31756.0,0.0,2495.0,0.0,2495.0,2495.0,0.0
aws-eventstream,1.4.0,2025-06-02,ok,13312.0,7.0,0.0,33.0,33.0,0.0,20.0,13.0,0.0,0.0,,283.0,539.0,0.0,33.0,0.0,33.0,33.0,0.0
tzinfo,2.0.6,2023-01-28,ok,79360.0,49.0,0.0,442.0,452.0,0.0,348.0,63.0,31.0,0.0,,2700.0,7056.0,0.0,442.0,0.0,442.0,442.0,0.0
diff-lcs,2.0.0,2026-02-02,ok,70144.0,16.0,0.0,111.0,112.0,0.0,105.0,6.0,0.0,0.0,,1167.0,2196.0,0.0,111.0,0.0,111.0,111.0,0.0
addressable,2.9.0,2026-04-05,ok,78336.0,7.0,0.0,157.0,162.0,0.0,142.0,9.0,6.0,0.0,,6649.0,8486.0,0.0,157.0,0.0,157.0,157.0,0.0
faraday,2.14.3,2026-06-16,ok,75776.0,33.0,0.0,353.0,366.0,0.0,298.0,40.0,15.0,16.0,,2264.0,3835.0,0.0,353.0,0.0,353.0,353.0,0.0
public_suffix,7.0.5,2026-03-03,ok,108544.0,6.0,0.0,61.0,62.0,0.0,58.0,2.0,1.0,0.0,,287.0,1070.0,0.0,61.0,0.0,61.0,61.0,0.0
json,3.0.0,2026-09-07,ok,104448.0,9.0,5.0,166.0,112.0,56.0,156.0,10.0,0.0,9.0,c,1055.0,2361.0,0.0,166.0,0.0,166.0,166.0,0.0
rack,3.2.7,2026-08-13,ok,121344.0,49.0,0.0,621.0,631.0,0.0,540.0,79.0,2.0,29.0,,5671.0,8725.0,0.0,621.0,0.0,621.0,621.0,0.0
minitest,6.0.6,2026-05-01,ok,107520.0,25.0,0.0,415.0,420.0,0.0,415.0,0.0,0.0,0.0,,2679.0,5358.0,0.0,415.0,0.0,415.0,415.0,0.0
concurrent-ruby,1.3.8,2026-07-19,ok,350720.0,118.0,15.0,1191.0,1202.0,0.0,912.0,203.0,76.0,0.0,java,7749.0,16480.0,0.0,1191.0,0.0,1191.0,1191.0,0.0
rspec-core,3.13.6,2025-10-19,ok,167936.0,73.0,0.0,1236.0,1269.0,0.0,963.0,269.0,4.0,7.0,,8019.0,14265.0,0.0,1236.0,0.0,1236.0,1236.0,0.0
rspec-expectations,3.13.5,2025-05-27,ok,89600.0,49.0,0.0,802.0,823.0,0.0,513.0,285.0,4.0,9.0,,4575.0,8097.0,0.0,802.0,0.0,802.0,802.0,0.0
aws-sdk-kms,1.130.0,2026-07-09,ok,178176.0,11.0,0.0,165.0,165.0,0.0,163.0,2.0,0.0,0.0,,3683.0,22342.0,0.0,165.0,0.0,165.0,165.0,0.0
rspec,3.13.2,2025-10-21,ok,10752.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,7.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0
rspec-support,3.13.7,2026-01-28,ok,40960.0,23.0,0.0,247.0,291.0,0.0,199.0,48.0,0.0,25.0,,1742.0,2596.0,0.0,247.0,0.0,247.0,247.0,0.0
multi_json,1.21.1,2026-05-04,ok,26624.0,16.0,0.0,83.0,83.0,0.0,57.0,26.0,0.0,7.0,,612.0,1785.0,0.0,83.0,0.0,83.0,83.0,0.0
rspec-mocks,3.13.8,2026-02-27,ok,82944.0,41.0,0.0,783.0,800.0,0.0,630.0,149.0,4.0,0.0,,4297.0,7056.0,0.0,783.0,0.0,783.0,783.0,0.0
unicode-display_width,3.2.0,2025-09-09,ok,18432.0,7.0,0.0,14.0,14.0,0.0,14.0,0.0,0.0,0.0,,277.0,384.0,0.0,14.0,0.0,14.0,14.0,0.0
nokogiri,1.19.4,2026-06-18,ok,4369408.0,78.0,72.0,841.0,640.0,205.0,803.0,37.0,1.0,0.0,c,7157.0,13221.0,0.0,841.0,0.0,841.0,841.0,0.0
thor,1.5.0,2026-01-06,ok,56832.0,36.0,0.0,530.0,530.0,0.0,356.0,50.0,124.0,0.0,,3631.0,6303.0,0.0,530.0,0.0,530.0,530.0,0.0
builder,3.3.0,2024-06-06,ok,30208.0,6.0,0.0,37.0,38.0,0.0,24.0,13.0,0.0,0.0,,398.0,834.0,0.0,37.0,0.0,37.0,37.0,0.0
mime-types,3.7.0,2025-05-07,ok,41984.0,14.0,0.0,176.0,177.0,0.0,129.0,44.0,3.0,0.0,,1018.0,1851.0,0.0,176.0,0.0,176.0,176.0,0.0
multipart-post,2.4.1,2024-05-07,ok,15872.0,11.0,0.0,30.0,30.0,0.0,27.0,3.0,0.0,0.0,,247.0,503.0,0.0,30.0,0.0,30.0,30.0,0.0
mini_mime,1.1.5,2023-08-08,ok,35328.0,3.0,0.0,32.0,33.0,0.0,32.0,0.0,0.0,0.0,,191.0,244.0,0.0,32.0,0.0,32.0,32.0,0.0
aws-sdk-s3,1.229.0,2026-08-06,ok,603648.0,126.0,0.0,1440.0,1450.0,0.0,1088.0,352.0,0.0,0.0,,20379.0,83141.0,0.0,1440.0,0.0,1440.0,1440.0,0.0
ffi,1.17.4,2026-03-26,ok,894464.0,32.0,142.0,400.0,228.0,193.0,387.0,7.0,6.0,0.0,c,1817.0,4025.0,0.0,400.0,0.0,400.0,400.0,0.0
jwt,3.2.0,2026-05-13,ok,54784.0,47.0,0.0,314.0,327.0,0.0,248.0,66.0,0.0,2.0,,1771.0,2872.0,0.0,314.0,0.0,314.0,314.0,0.0
rack-test,2.2.0,2024-12-23,ok,20992.0,1.0,0.0,26.0,27.0,0.0,20.0,6.0,0.0,0.0,,229.0,383.0,0.0,26.0,0.0,26.0,26.0,0.0
parallel,2.2.0,2026-09-06,ok,12800.0,3.0,0.0,70.0,70.0,0.0,42.0,28.0,0.0,0.0,,680.0,869.0,0.0,70.0,0.0,70.0,70.0,0.0
tilt,2.9.0,2026-08-17,ok,31744.0,39.0,0.0,167.0,179.0,0.0,127.0,31.0,9.0,0.0,,1548.0,3319.0,0.0,167.0,0.0,167.0,167.0,0.0
ast,2.4.3,2025-03-19,ok,11776.0,5.0,0.0,28.0,33.0,0.0,27.0,0.0,1.0,0.0,,155.0,620.0,0.0,28.0,0.0,28.0,28.0,0.0
actionpack,8.1.3,2026-03-24,ok,261632.0,156.0,0.0,2393.0,2422.0,0.0,1818.0,564.0,11.0,0.0,,15615.0,28288.0,0.0,2393.0,0.0,2393.0,2393.0,0.0
activemodel,8.1.3,2026-03-24,ok,71168.0,73.0,0.0,673.0,682.0,0.0,516.0,152.0,5.0,0.0,,3974.0,8728.0,0.0,673.0,0.0,673.0,673.0,0.0
rexml,3.4.4,2025-09-10,ok,105984.0,50.0,0.0,735.0,748.0,0.0,628.0,90.0,17.0,0.0,,7034.0,11453.0,0.0,735.0,0.0,735.0,735.0,0.0
method_source,1.1.0,2024-04-15,ok,13824.0,4.0,0.0,24.0,28.0,0.0,22.0,2.0,0.0,0.0,,266.0,476.0,0.0,24.0,0.0,24.0,24.0,0.0
rainbow,3.1.1,2022-01-11,ok,13824.0,11.0,0.0,103.0,115.0,0.0,101.0,2.0,0.0,0.0,,559.0,723.0,0.0,103.0,0.0,103.0,103.0,0.0
faraday-net_http,3.4.4,2026-06-02,ok,8192.0,3.0,0.0,14.0,14.0,0.0,4.0,10.0,0.0,0.0,,182.0,225.0,0.0,14.0,0.0,14.0,14.0,0.0
rubyzip,3.6.0,2026-09-01,ok,59904.0,48.0,0.0,581.0,595.0,0.0,527.0,42.0,12.0,2.0,,3431.0,4994.0,0.0,581.0,0.0,581.0,581.0,0.0
rails,8.1.3,2026-03-24,ok,7168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mime-types-data,3.2026.0701,2026-07-01,ok,179712.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,9.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
loofah,2.25.2,2026-07-15,ok,36864.0,17.0,0.0,94.0,98.0,0.0,88.0,6.0,0.0,0.0,,1863.0,2705.0,0.0,94.0,0.0,94.0,94.0,0.0
ruby-progressbar,1.13.0,2023-03-04,ok,19456.0,25.0,0.0,261.0,263.0,0.0,195.0,23.0,43.0,0.0,,1011.0,1322.0,0.0,261.0,0.0,261.0,261.0,0.0
connection_pool,3.0.2,2025-12-05,ok,13312.0,5.0,0.0,44.0,45.0,0.0,35.0,9.0,0.0,0.0,,280.0,512.0,0.0,44.0,0.0,44.0,44.0,0.0
actionmailer,8.1.3,2026-03-24,ok,33280.0,23.0,0.0,162.0,163.0,0.0,111.0,51.0,0.0,0.0,,1187.0,2712.0,0.0,162.0,0.0,162.0,162.0,0.0
railties,8.1.3,2026-03-24,ok,202752.0,152.0,0.0,1572.0,1592.0,0.0,1091.0,462.0,19.0,0.0,,10489.0,15335.0,0.0,1572.0,0.0,1572.0,1572.0,0.0
rails-html-sanitizer,1.7.1,2026-07-16,ok,15360.0,4.0,0.0,55.0,55.0,0.0,41.0,5.0,9.0,0.0,,428.0,726.0,0.0,55.0,0.0,55.0,55.0,0.0
actionview,8.1.3,2026-03-24,ok,192000.0,122.0,0.0,1172.0,1186.0,0.0,871.0,301.0,0.0,0.0,,8826.0,19902.0,0.0,1172.0,0.0,1172.0,1172.0,0.0
racc,1.8.1,2024-07-30,ok,65536.0,17.0,1.0,539.0,553.0,2.0,433.0,106.0,0.0,0.0,c,3904.0,5394.0,0.0,539.0,0.0,539.0,539.0,0.0
mail,2.9.1,2026-07-01,ok,396288.0,111.0,0.0,1187.0,1189.0,0.0,1058.0,107.0,22.0,0.0,,61613.0,66419.0,0.0,1187.0,0.0,1187.0,1187.0,0.0
nio4r,2.7.5,2025-10-31,ok,116736.0,7.0,22.0,101.0,53.0,48.0,101.0,0.0,0.0,0.0,c+java,365.0,685.0,0.0,101.0,0.0,101.0,101.0,0.0
excon,1.7.1,2026-08-28,ok,154624.0,28.0,0.0,195.0,195.0,0.0,160.0,35.0,0.0,12.0,,2598.0,3309.0,0.0,195.0,0.0,195.0,195.0,0.0
http-cookie,1.1.6,2026-04-19,ok,26624.0,13.0,0.0,150.0,159.0,0.0,133.0,5.0,12.0,2.0,,1638.0,2481.0,0.0,150.0,0.0,150.0,150.0,0.0
zeitwerk,2.8.3,2026-08-01,ok,44032.0,25.0,0.0,181.0,182.0,0.0,151.0,30.0,0.0,1.0,,1332.0,2533.0,0.0,181.0,0.0,181.0,181.0,0.0
activejob,8.1.3,2026-03-24,ok,43520.0,54.0,0.0,352.0,352.0,0.0,256.0,96.0,0.0,0.0,,2642.0,4851.0,0.0,352.0,0.0,352.0,352.0,0.0
rails-dom-testing,2.3.0,2025-05-20,ok,17920.0,9.0,0.0,48.0,48.0,0.0,26.0,16.0,6.0,0.0,,423.0,831.0,0.0,48.0,0.0,48.0,48.0,0.0
globalid,1.4.0,2026-06-23,ok,16896.0,11.0,0.0,100.0,101.0,0.0,70.0,26.0,4.0,0.0,,512.0,943.0,0.0,100.0,0.0,100.0,100.0,0.0
websocket-driver,0.8.2,2026-06-23,ok,23040.0,19.0,2.0,157.0,156.0,1.0,114.0,43.0,0.0,0.0,c+java,1246.0,1620.0,0.0,157.0,0.0,157.0,157.0,0.0
activerecord,8.1.3,2026-03-24,ok,568832.0,397.0,0.0,6280.0,6369.0,0.0,4511.0,1734.0,35.0,0.0,,40176.0,68089.0,0.0,6280.0,0.0,6280.0,6280.0,0.0
domain_name,0.6.20260902,2026-09-03,ok,161792.0,5.0,0.0,35.0,36.0,0.0,35.0,0.0,0.0,0.0,,10658.0,10914.0,0.0,35.0,0.0,35.0,35.0,0.0
erubi,1.13.1,2024-12-19,ok,13312.0,3.0,0.0,25.0,30.0,0.0,10.0,15.0,0.0,0.0,,296.0,451.0,0.0,25.0,0.0,25.0,25.0,0.0
thread_safe,0.3.6,2017-02-22,ok,120832.0,17.0,10.0,177.0,184.0,0.0,133.0,44.0,0.0,0.0,java,1423.0,2114.0,0.0,177.0,0.0,177.0,177.0,0.0
coderay,1.1.3,2020-05-30,ok,92672.0,72.0,0.0,318.0,323.0,0.0,214.0,3.0,101.0,0.0,,6925.0,9601.0,0.0,318.0,0.0,318.0,318.0,0.0
mini_portile2,2.8.9,2025-05-12,ok,36864.0,4.0,0.0,96.0,96.0,0.0,62.0,34.0,0.0,0.0,,721.0,929.0,0.0,96.0,0.0,96.0,96.0,0.0
regexp_parser,2.12.0,2026-04-04,ok,60416.0,83.0,0.0,457.0,552.0,0.0,333.0,122.0,2.0,8.0,,5680.0,6872.0,0.0,457.0,0.0,457.0,457.0,0.0
sprockets,4.4.1,2026-08-25,ok,83968.0,80.0,0.0,581.0,582.0,0.0,484.0,57.0,40.0,0.0,,4827.0,8979.0,0.0,581.0,0.0,581.0,581.0,0.0
pry,0.16.0,2025-12-27,ok,155136.0,135.0,0.0,1271.0,1287.0,0.0,991.0,276.0,4.0,9.0,,9385.0,14946.0,2.0,1271.0,0.0,1271.0,1271.0,0.0
crass,1.0.7,2026-06-25,ok,20992.0,6.0,0.0,73.0,73.0,0.0,73.0,0.0,0.0,0.0,,1017.0,1690.0,0.0,73.0,0.0,73.0,73.0,0.0
actioncable,8.1.3,2026-03-24,ok,47616.0,45.0,0.0,421.0,422.0,0.0,300.0,120.0,1.0,1.0,,2484.0,4249.0,0.0,421.0,0.0,421.0,421.0,0.0
netrc,0.11.0,2015-10-29,ok,10752.0,1.0,0.0,25.0,25.0,0.0,25.0,0.0,0.0,0.0,,196.0,252.0,0.0,25.0,0.0,25.0,25.0,0.0
websocket-extensions,0.1.5,2020-06-02,ok,10752.0,2.0,0.0,20.0,20.0,0.0,18.0,2.0,0.0,0.0,,230.0,294.0,0.0,20.0,0.0,20.0,20.0,0.0
multi_xml,0.9.1,2026-05-04,ok,48128.0,23.0,0.0,296.0,296.0,0.0,107.0,189.0,0.0,25.0,,1821.0,3724.0,0.0,296.0,0.0,296.0,296.0,0.0
puma,8.0.2,2026-05-26,ok,265216.0,46.0,10.0,788.0,776.0,21.0,699.0,89.0,0.0,4.0,c+java,6964.0,11117.0,0.0,788.0,0.0,788.0,788.0,0.0
sprockets-rails,3.5.2,2024-07-31,ok,16384.0,12.0,0.0,66.0,67.0,0.0,49.0,9.0,8.0,0.0,,724.0,938.0,0.0,66.0,0.0,66.0,66.0,0.0
redis,6.0.0,2026-07-31,ok,105472.0,38.0,0.0,932.0,932.0,0.0,869.0,58.0,5.0,13.0,,5202.0,10956.0,0.0,932.0,0.0,932.0,932.0,0.0
dotenv,3.2.0,2025-12-03,ok,17408.0,17.0,0.0,69.0,69.0,0.0,57.0,12.0,0.0,0.0,,544.0,796.0,0.0,69.0,0.0,69.0,69.0,0.0
unf_ext,0.0.9.1,2023-11-16,ok,399872.0,3.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,cpp,53.0,68.0,0.0,2.0,0.0,2.0,2.0,0.0
activestorage,8.1.3,2026-03-24,ok,70144.0,87.0,0.0,532.0,532.0,0.0,344.0,188.0,0.0,0.0,,3781.0,5864.0,0.0,532.0,0.0,532.0,532.0,0.0
rack-protection,4.2.1,2025-10-10,ok,18432.0,22.0,0.0,94.0,96.0,0.0,73.0,21.0,0.0,0.0,,754.0,1272.0,0.0,94.0,0.0,94.0,94.0,0.0
httpclient,2.9.0,2025-02-22,ok,394240.0,20.0,0.0,726.0,743.0,0.0,623.0,103.0,0.0,0.0,,4821.0,6995.0,0.0,726.0,0.0,726.0,726.0,0.0
base64,0.3.0,2025-05-30,ok,11776.0,1.0,0.0,6.0,6.0,0.0,6.0,0.0,0.0,6.0,,31.0,382.0,0.0,6.0,0.0,6.0,6.0,0.0
rubocop-ast,1.50.0,2026-07-04,ok,62976.0,101.0,0.0,788.0,794.0,0.0,653.0,132.0,3.0,0.0,,4981.0,8243.0,1.0,788.0,0.0,788.0,788.0,0.0
signet,0.22.0,2026-06-04,ok,36352.0,12.0,0.0,215.0,243.0,0.0,209.0,6.0,0.0,0.0,,1994.0,3720.0,0.0,215.0,0.0,215.0,215.0,0.0
unf,0.2.0,2024-08-17,ok,8192.0,6.0,0.0,4.0,5.0,0.0,3.0,1.0,0.0,0.0,,107.0,162.0,0.0,4.0,0.0,4.0,4.0,0.0
docile,1.4.1,2024-07-25,ok,16896.0,6.0,0.0,10.0,10.0,0.0,10.0,0.0,0.0,0.0,,134.0,357.0,0.0,10.0,0.0,10.0,10.0,0.0
rb-fsevent,0.11.2,2022-08-29,ok,66560.0,5.0,13.0,15.0,16.0,0.0,10.0,5.0,0.0,0.0,c,363.0,486.0,0.0,15.0,0.0,15.0,15.0,0.0
ruby2_keywords,0.0.5,2021-07-16,ok,10752.0,1.0,0.0,5.0,5.0,0.0,4.0,1.0,0.0,0.0,,31.0,58.0,0.0,5.0,0.0,5.0,5.0,0.0
googleauth,1.17.4,2026-08-26,ok,73216.0,37.0,0.0,370.0,373.0,0.0,270.0,87.0,13.0,9.0,,3232.0,6665.0,0.0,370.0,0.0,370.0,370.0,0.0
bigdecimal,4.1.2,2026-04-18,ok,107008.0,7.0,10.0,134.0,67.0,67.0,134.0,0.0,0.0,46.0,c,1002.0,1852.0,0.0,134.0,0.0,134.0,134.0,0.0
msgpack,1.8.4,2026-07-28,ok,62464.0,12.0,37.0,127.0,57.0,76.0,115.0,12.0,0.0,0.0,c+java,574.0,756.0,0.0,127.0,0.0,127.0,127.0,0.0
simplecov-html,0.13.2,2025-07-16,ok,133632.0,2.0,0.0,19.0,19.0,0.0,2.0,17.0,0.0,0.0,,129.0,176.0,0.0,19.0,0.0,19.0,19.0,0.0
rb-inotify,0.11.1,2024-05-19,ok,15872.0,8.0,0.0,33.0,33.0,0.0,31.0,2.0,0.0,0.0,,285.0,733.0,0.0,33.0,0.0,33.0,33.0,0.0
rest-client,2.1.0,2019-08-21,ok,147456.0,16.0,0.0,198.0,200.0,0.0,183.0,15.0,0.0,0.0,,1467.0,2646.0,1.0,198.0,0.0,198.0,198.0,0.0
simplecov,1.2.0,2026-09-04,ok,212992.0,190.0,0.0,1415.0,1415.0,0.0,1088.0,323.0,4.0,0.0,,9641.0,15173.0,0.0,1415.0,0.0,1415.0,1415.0,0.0
rubygems-update,4.0.20,2026-09-02,ok,966144.0,329.0,0.0,4751.0,4777.0,0.0,3783.0,917.0,51.0,47.0,,37613.0,57359.0,0.0,4751.0,0.0,4751.0,4751.0,0.0
marcel,2.1.0,2026-08-22,ok,65536.0,9.0,0.0,72.0,72.0,0.0,37.0,35.0,0.0,0.0,,4033.0,4510.0,0.0,72.0,0.0,72.0,72.0,0.0
parser,3.3.12.0,2026-07-16,ok,911872.0,76.0,0.0,8884.0,9098.0,0.0,8677.0,131.0,76.0,0.0,,197111.0,226659.0,1.0,8884.0,0.0,8884.0,8884.0,0.0
httparty,0.24.2,2026-01-14,ok,50176.0,24.0,0.0,313.0,313.0,0.0,189.0,109.0,15.0,0.0,,1895.0,2930.0,0.0,313.0,0.0,313.0,313.0,0.0
hashie,5.1.0,2025-12-24,ok,55296.0,41.0,0.0,316.0,337.0,0.0,265.0,42.0,9.0,0.0,,2076.0,3316.0,0.0,316.0,0.0,316.0,316.0,0.0
webrick,1.9.2,2025-11-26,ok,71168.0,35.0,0.0,449.0,458.0,0.0,377.0,72.0,0.0,16.0,,4220.0,7240.0,0.0,449.0,0.0,449.0,449.0,0.0
byebug,13.0.0,2026-01-15,ok,85504.0,116.0,6.0,732.0,677.0,55.0,616.0,112.0,4.0,0.0,c,3954.0,6525.0,0.0,732.0,0.0,732.0,732.0,0.0
os,1.1.4,2021-11-07,ok,12800.0,2.0,0.0,29.0,30.0,0.0,28.0,1.0,0.0,0.0,,254.0,320.0,0.0,29.0,0.0,29.0,29.0,0.0
actiontext,8.1.3,2026-03-24,ok,41984.0,33.0,0.0,203.0,206.0,0.0,154.0,49.0,0.0,0.0,,1276.0,2117.0,0.0,203.0,0.0,203.0,203.0,0.0
actionmailbox,8.1.3,2026-03-24,ok,22528.0,43.0,0.0,142.0,142.0,0.0,98.0,44.0,0.0,0.0,,874.0,1579.0,0.0,142.0,0.0,142.0,142.0,0.0
faraday_middleware,1.2.1,2024-09-23,ok,17408.0,22.0,0.0,94.0,94.0,0.0,83.0,11.0,0.0,0.0,,814.0,1285.0,0.0,94.0,0.0,94.0,94.0,0.0
execjs,2.10.2,2026-08-12,ok,18944.0,11.0,0.0,84.0,86.0,0.0,65.0,9.0,10.0,0.0,,771.0,946.0,0.0,84.0,0.0,84.0,84.0,0.0
bcrypt,3.1.22,2026-03-18,ok,47616.0,5.0,10.0,23.0,19.0,4.0,21.0,2.0,0.0,0.0,c+java,153.0,305.0,0.0,23.0,0.0,23.0,23.0,0.0
pg,1.6.3,2025-12-29,ok,225280.0,35.0,25.0,455.0,189.0,288.0,435.0,18.0,2.0,0.0,c,1815.0,3121.0,0.0,455.0,0.0,455.0,455.0,0.0
logger,1.7.0,2025-03-27,ok,16896.0,7.0,0.0,67.0,70.0,0.0,49.0,18.0,0.0,2.0,,482.0,1196.0,0.0,67.0,0.0,67.0,67.0,0.0
sawyer,0.9.3,2025-10-23,ok,13312.0,8.0,0.0,104.0,106.0,0.0,104.0,0.0,0.0,0.0,,517.0,865.0,0.0,104.0,0.0,104.0,104.0,0.0
listen,3.10.0,2026-01-16,ok,31232.0,33.0,0.0,211.0,213.0,0.0,135.0,76.0,0.0,0.0,,1665.0,2395.0,0.0,211.0,0.0,211.0,211.0,0.0
retriable,5.0.1,2026-08-28,ok,50688.0,6.0,0.0,59.0,59.0,0.0,34.0,25.0,0.0,25.0,,526.0,797.0,1.0,59.0,0.0,59.0,59.0,0.0
faraday-excon,2.4.0,2025-10-13,ok,7680.0,3.0,0.0,10.0,10.0,0.0,3.0,7.0,0.0,0.0,,119.0,165.0,0.0,10.0,0.0,10.0,10.0,0.0
terminal-table,4.0.0,2025-01-27,ok,22528.0,10.0,0.0,125.0,127.0,0.0,118.0,7.0,0.0,0.0,,629.0,950.0,0.0,125.0,0.0,125.0,125.0,0.0
hashdiff,1.2.1,2025-09-06,ok,17920.0,9.0,0.0,47.0,47.0,0.0,20.0,27.0,0.0,0.0,,503.0,810.0,0.0,47.0,0.0,47.0,47.0,0.0
crack,1.0.1,2025-10-22,ok,10752.0,5.0,0.0,38.0,39.0,0.0,34.0,1.0,3.0,0.0,,282.0,385.0,0.0,38.0,0.0,38.0,38.0,0.0
faraday-retry,2.4.0,2025-12-25,ok,11776.0,5.0,0.0,26.0,26.0,0.0,18.0,8.0,0.0,0.0,,204.0,342.0,0.0,26.0,0.0,26.0,26.0,0.0
google-protobuf,4.36.1,2026-08-31,ok,327680.0,39.0,21.0,382.0,324.0,131.0,311.0,71.0,0.0,0.0,c,3209.0,4568.0,0.0,382.0,0.0,382.0,382.0,0.0
faraday-multipart,1.2.0,2025-12-25,ok,10752.0,5.0,0.0,26.0,26.0,0.0,15.0,11.0,0.0,0.0,,201.0,366.0,0.0,26.0,0.0,26.0,26.0,0.0
knapsack,4.0.0,2021-08-05,ok,595456.0,47.0,0.0,145.0,145.0,0.0,116.0,26.0,3.0,0.0,,1092.0,1358.0,0.0,145.0,0.0,145.0,145.0,0.0
webmock,3.26.4,2026-08-29,ok,72192.0,61.0,0.0,568.0,575.0,0.0,467.0,92.0,9.0,0.0,,4150.0,5376.0,0.0,568.0,0.0,568.0,568.0,0.0
octokit,10.0.0,2025-04-24,ok,89600.0,87.0,0.0,969.0,1092.0,0.0,920.0,39.0,10.0,1.0,,4121.0,11211.0,0.0,969.0,0.0,969.0,969.0,0.0
bootsnap,1.26.0,2026-09-04,ok,47616.0,22.0,1.0,210.0,214.0,8.0,177.0,33.0,0.0,0.0,c,1900.0,2516.0,0.0,210.0,0.0,210.0,210.0,0.0
representable,3.2.0,2022-05-16,ok,77824.0,36.0,0.0,236.0,236.0,0.0,201.0,35.0,0.0,3.0,,1473.0,2028.0,1.0,236.0,0.0,236.0,236.0,0.0
faraday-net_http_persistent,2.3.1,2025-06-17,ok,8704.0,3.0,0.0,17.0,17.0,0.0,3.0,14.0,0.0,0.0,,202.0,262.0,0.0,17.0,0.0,17.0,17.0,0.0
mini_magick,5.4.0,2026-08-31,ok,22016.0,8.0,0.0,93.0,97.0,0.0,90.0,3.0,0.0,2.0,,589.0,1324.0,0.0,93.0,0.0,93.0,93.0,0.0
rspec-rails,8.0.4,2026-03-11,ok,74752.0,74.0,0.0,357.0,358.0,0.0,258.0,86.0,13.0,13.0,,3123.0,4754.0,24.0,357.0,0.0,357.0,357.0,0.0
net-imap,0.6.6,2026-07-23,ok,193536.0,48.0,0.0,1033.0,1144.0,0.0,718.0,306.0,9.0,35.0,,6164.0,17436.0,3.0,1033.0,0.0,1033.0,1033.0,0.0
uber,0.1.0,2016-11-10,ok,14848.0,8.0,0.0,26.0,26.0,0.0,22.0,4.0,0.0,0.0,,169.0,224.0,0.0,26.0,0.0,26.0,26.0,0.0
timeout,0.6.1,2026-03-09,ok,10752.0,1.0,0.0,16.0,17.0,0.0,15.0,1.0,0.0,0.0,,168.0,315.0,0.0,16.0,0.0,16.0,16.0,0.0
faraday-em_synchrony,1.0.1,2025-06-17,ok,8704.0,4.0,0.0,10.0,10.0,0.0,5.0,5.0,0.0,0.0,,180.0,245.0,0.0,10.0,0.0,10.0,10.0,0.0
sinatra,4.2.1,2025-10-10,ok,136192.0,7.0,0.0,284.0,296.0,0.0,229.0,55.0,0.0,0.0,,2020.0,2839.0,0.0,284.0,0.0,284.0,284.0,0.0
sass,3.7.4,2019-04-04,ok,208896.0,133.0,0.0,1834.0,1837.0,0.0,1199.0,439.0,196.0,0.0,,13788.0,24199.0,0.0,1834.0,0.0,1834.0,1834.0,0.0
declarative,0.0.20,2020-06-29,ok,10752.0,9.0,0.0,41.0,41.0,0.0,34.0,7.0,0.0,0.0,,285.0,398.0,0.0,41.0,0.0,41.0,41.0,0.0
net-ssh,7.3.3,2026-06-27,ok,145920.0,90.0,0.0,812.0,826.0,0.0,689.0,118.0,5.0,0.0,,6782.0,11159.0,0.0,812.0,0.0,812.0,812.0,0.0
